Type,cz,de,en
Noun,Jablko,der Apfel,apple
Noun,Hruška,die Birne,pear
Noun,Pomeranč,die Orange,orange
Noun,Citron,die Zitrone,lemon
Noun,Banán,die Banane,banana
Noun,Mango,die Mango,mango
Noun,Meloun,die Melone,melon
Noun,Hrozny,die Trauben,grapes
Noun,Jahoda,die Erdbeere,strawberry
Noun,Malina,die Himbeere,raspberry
Noun,Borůvka,die Heidelbeere,blueberry
Noun,Třešeň,die Kirsche,cherry
Noun,Švestka,die Pflaume,plume
Noun,Meruňka,die Aprikose,apricot
Noun,Broskev,der Pfirsich,peach
Noun,Ananas,die Ananas,pineapple
Noun,Kiwi,die Kiwi,kiwi
Noun,Ořech,die Nuss,nut
Noun,Brambora,die Kartoffel,potato
Noun,Mrkev,die Karotte,carrot
Noun,Cibule,die Zwiebel,onion
Noun,Česnek,der Knoblauch,garlic
Noun,Paprika,die Paprika,bell pepper
Noun,Rajče,die Tomate,tomato
Noun,Okurka,die Gurke,cucumber
Noun,Cuketa,die Zucchini,zucchini
Noun,Salát,der Salat,salad
Noun,Špenát,der Spinat,spinach
Noun,Květák,der Blumenkohl,cauliflower
Noun,Brokolice,der Brokkoli,broccoli
Noun,Kedluben,der Kohlrabi,kohlrabi
Noun,Zelí,der Kohl,cabbage
Noun,Hrášek,die Erbse,pea
Noun,Fazol,die Bohne,bean
Noun,Kukuřice,der Mais,corn
Noun,Rýže,der Reis,rice
Noun,Řepa,die Rübe,beetroot
Noun,Dýně,der Kürbis,pumpkin
Noun,Chřest,der Spargel,asparagus
Noun,Pórek,der Lauch,leek
Noun,Křen,der Meerrettich,horseradish
