Type,cz,de,en
Noun,Hlava,der Kopf,head
Noun,Noha,der Beim,leg
Noun,Ruka,der Hand,hand
Noun,Prst,der Finger,finger
Noun,Prsty,die Finger,fingers
Noun,Chodidlo,der Fuß,foot
Noun,Chodidla,die Füße,feet
Noun,Prsty na nohou,der Zeh,toe
Noun,Koleno,das Knie,knee
Noun,Oko,das Auge,eye
Noun,Oči,die Augen,eyes
Noun,Ucho,das Ohr,ear
Noun,Břicho,der Bauch,belly
Noun,Srdce,das Herz,heart
Noun,Throat,die Kehle,hrdlo
Noun,Sval,der Muskel,muscle
Noun,Kost,der Knochen,bone
Noun,Krk,der Hals,neck
Noun,Jazyk,die Zunge,tongue
Noun,Zub,der Zahn,tooth
Noun,Vlasy,die Haare,hair
Noun,Rameno,die Schulter,shoulder
Noun,Záda,der Rücken,back
Noun,Zadek,der Hintern,bottom
Noun,Nehet,der Nagel,nail
Noun,Prso,die Brust,breast
Noun,Obličej,das Gesicht,face
Noun,Tváře,die Wange,cheeks
Noun,Rty,die Lippe,lips
