Type,cz,de,en
Noun,Hrnec,der Topf,pot
Noun,pánev,die Pfanne,frying pan
Noun,sporák,der Herd,stove
Noun,trouba,der Ofen,oven
Noun,vzdušná fritéza,die Luftfritteuse,air fryer
Noun,fritéza,die Fritteuse,deep fryer
Noun,koření,das Gewürz,spice
Noun,sůl,das Salz,salt
Noun,pepř,der Pfeffer,pepper
Verb,vařit,kochen,to cook
Verb,vařit,kochen,to boil
Verb,smažit,braten,to fry
Verb,péct,backen,to bake
Verb,dusit,dämpfen,to steam
Verb,míchat,rühren,to stir
Noun,vařečka,der Kochlöffel,wooden spoon
Noun,nůž,das Messer,knife
Noun,vidlička,die Gabel,fork
Noun,lžíce,der Löffel,spoon
Noun,talíř,der Teller,plate
Noun,prkénko,das Hackbrett,cutting board
Noun,dřez,das Spülbecken,sink
Verb,umývat nádobí,Geschirr abwaschen,do the dishes
Noun,myčka,die Spülmaschine,dishwasher
Noun,lednice,der Kühlschrank,fridge
Noun,mrazák,der Gefrierschrank,freezer
Noun,síto,das Sieb,sieve
Noun,naběračka,die Schöpfkelle,ladle
Noun,nádobí,das Geschirr,utensil
Noun,Cedník,der Durchschlag,colander
Noun,třecí miska,der Mörtel,mortar
Noun,tlouček,der Stößel,pestle
Noun,kleště,die Zange,tongs
Noun,krájet,schneiden,to cut
Verb,smíchat,mischen,to mix
Verb,servírovat,servieren,to serve
Noun,konvice,der Wasserkocher,kettle
Noun,špacthle,der Spachtel,spatula
Noun,struhadlo,die Reibe,grater
Noun,kuchyňské rukavice,die Backofenhandschuhe,oven mitts
Noun,váha,die Waage,scale
Verb,škrábat,die Schale,to peel
Noun,škrabka,der Schäler,peeler
Noun,odměrka,der Messbecher,measuring cup
Verb,rozmačkat,stampfen,to mash
Noun,Poklopec,der Deckel,lid
Verb,udit,räuchern,to smoke
Verb,grilovat,grillen,to grill
Noun,sklenice,das Glas,glass
Noun,kouř,der Rauch,smoke
Adjective,chutný,lecker,tasty
Adjective,slaný,salzig,salty
Adjective,hořký,bitter,bitter
Adjective,sladký,süß,sweet
Adjective,kyselý,sauer,sour
Adjective,horký,heiß,hot (temperature)
Adjective,studený,kalt,cold
Adjective,kořeněný,würzig,spicy
Adjective,ostrý,scharf,hot
Adjective,křupavý,knusprig,crunchy
Adjective,krémový,cremig,creamy
Adjective,čerstvý,frisch,fresh
Adjective,nevýrazný,fade,bland
Adjective,zhnilý,verfault,rotten
Adjective,štavnatý,saftig,juicy
Adjective,vynikající,köstlich,delicious
