Type,cz,de,en
Noun,Loket,der Ellbogen,elbow
Noun,Kotník,der Knöchel,ankle
Noun,Stehno,der Schenkel,thigh
Noun,Lýtko,die Wade,calf
Noun,Ledvina,die Niere,kidney
Noun,Zápěstí,das Handgelenk,wrist
Noun,Žaludek,der Magen,stomach
Noun,Střevo,der Darm,intestine
Noun,Močový měchýř,die Harnblase,bladder
Noun,Páteř,der Pater,spine
Noun,Jícen,die Speiseröhre,esophagus
Noun,Štítná žláza,die Schilddrüse,Thyroid
Noun,Sval,der Muskel,muscle
Noun,Kost,der Knochen,bone
Noun,Plíce,die Lunge,lung
Noun,Játra,die Leber,liver
Noun,Slinivka,die Bauchspeicheldrüse,pancreas
Noun,Hlasivky,die Stimmbänder,vocal chords
Noun,Lebka,der Schädel,skull
Noun,Mozek,das Gehirn,brain
Noun,Obočí,die Braue,eyebrows
Noun,Řasy,die Wimper,eyelashes
Noun,Bradavka,die Warze,nipple
Noun,Žebro,die Rippe,rib
Noun,Třísla,die Leiste,Groin
Noun,Pata,die Ferse,heel
