Type,cz,de,en
Noun,Kladivo,der Hammer,hammer
Noun,Hřebík,der Nagel,nail
Noun,Šroub,die Schraube,screw
Noun,Šroubovák,der Schraubenzieher,screwdriver
Noun,Pila,die Säge,saw
Noun,Pilník,die Feile,file
Noun,Sekera,die Axt,axe
Noun,Vrtačka,die Bohrmaschine,drill
Noun,Kleště,die Zange,pliers
Noun,Nůžky,die Schere,scissors
Noun,Nůž,das Messer,knife
Noun,Metr,das Maßband,measuring band
Noun,Pravítko,das Lineal,ruler
Noun,Úhelník,der Winkel,angle
Noun,Pájka,der Lötkolben,soldering iron
Noun,Páčidlo,die Brechstange,pry bar
Noun,Lopata,die Schaufel,shovel
Noun,Kýbl,der Eimer,bucket
Noun,Kartáč,die Bürste,brush
Noun,Houba,der Schwamm,sponge
Noun,Svorka,die Klammer,clamp
Noun,Pumpa,die Pumpe,pump
Noun,Hladítko,die Kelle,trowel
Noun,Lžíce,der Löffel,spoon
Noun,Pinzeta,die Pinzette,tweezers
Noun,Žebřík,die Leiter,ladder
Noun,Lampa,die Lampe,lamp
Noun,Drát,der Draht,wire
Noun,Lano,das Seil,rope
Noun,Řetěz,die Kette,chain
Noun,Ocel,das Stahl,steel
Noun,Hřebínek,der Kamm,comb
Noun,Štětec,der Pinsel,brush
Noun,Barva,die Farbe,color
Noun,Vědro,der Eimer,bucket
Noun,Smeták,der Besen,broom
Noun,Jehla,die Nadel,needle
Noun,Šicí stroj,die Nähmaschine,sewing machine
Noun,Matka,die Mutter,nut
Noun,Vodováha,die Wasserwaage,spirit level
